Key,Type,Desc,English,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish,UI_Tester
PROG_LE1_WIN_CHOICE_2_OUTCOME_GENERAL,Text,,"MESSAGE 
From:Colonel Jack Harlson (New Jericho) 
To: Phoenix Point

The Pandorans grow ever more cunning and deliberate in their attacks. We need more and better weapons. West is right: whatever the wishful thinkers may be dreaming, any feasible solution to this menace requires force and the willingness to use it.",,"MESSAGE
EXPÉDITEUR : Colonel Jack Harlson (Nouvelle-Jéricho)
DESTINATAIRE : Phoenix

Les pandoriens deviennent de plus en plus rusés et réfléchis dans leurs attaques. Nous avons besoin de plus d’armes et de meilleures qualités. West a raison : peu importe ce que rêvent les penseurs, toute solution réaliste à cette menace nécessite la force et la volonté de l’utiliser.","NACHRICHT
Von: Oberst Jack Harlson (Neu-Jericho)
An: Phoenix Point

Die Pandoraner werden mit jedem Angriff berechnender und zielgerichteter. Wir brauchen mehr und bessere Waffen. West hat recht: Was auch immer die Träumer wünschen mögen, jede realistische Lösung für diese Bedrohung erfordert Gewalt und die Bereitschaft, sie anzuwenden.",,,"ВХОДЯЩЕЕ СООБЩЕНИЕ 
ОТ: Полковник Джек Харлсон (Новый Иерихон) 
КОМУ: Проект Феникс

Пандораны становятся все более хитрыми и жесткими в своих атаках. Нам нужно больше самого лучшего оружия. Уэст прав: о чем бы ни мечтали фантазеры, любое реальное решение этой угрозы требует силы и готовности ее применить.",,
PROG_LE1_WIN_CHOICE_2_TEXT,Text,,"The Pandorans did it, all of it!",,Les Pandoriens l’ont fait !,DIE PANDORANER WAREN ES – ALLESAMT!,,,"Это сделали Пандораны, все это!",,
PROG_LE1_WIN_CHOICE_1_OUTCOME_GENERAL,Text,,"MESSAGE 
From: Colonel Jack Harlson (New Jericho) 
To: Phoenix Point

I wanted to thank you personally for delivering this information. It is crucial that all of us understand the peril we are facing. Over the years we have gathered a lot of evidence showing how the Anu cultists are collaborating with the enemy. In due time, they will pay for their crimes against humanity.",,"MESSAGE
EXPÉDITEUR : Colonel Jack Harlson (Nouvelle-Jéricho)
DESTINATAIRE : Phoenix

Je tiens à vous remercier personnellement d’avoir fourni cette information. Il est crucial que nous comprenions tous les dangers auxquels nous faisons face. Au fil des ans, nous avons rassemblé beaucoup de preuves montrant comment les disciples d’Anu collaborent avec l’ennemi. En temps voulu, ils paieront pour leurs crimes contre l’humanité.","NACHRICHT
Von: Oberst Jack Harlson (Neu-Jericho)
An: Phoenix Point

Ich möchte Ihnen persönlich dafür danken, dass Sie diese Informationen übermittelt haben. Es ist von entscheidender Bedeutung, dass wir alle das Ausmaß der Gefahr begreifen, der wir gegenüberstehen.
Im Laufe der Jahre haben wir umfangreiche Aufklärungsergebnisse konsolidiert, die belegen, dass die Anu-Kultisten mit dem Feind kollaborieren. Zu gegebener Zeit werden sie für ihre Verbrechen gegen die Menschheit zur Rechenschaft gezogen.",,,"ВХОДЯЩЕЕ СООБЩЕНИЕ 
ОТ:  Полковник Джек Харлсон (Новый Иерихон) 
КОМУ:  Проект Феникс

Я хотел бы лично поблагодарить вас за эту информацию. Очень важно, чтобы все мы понимали, какая опасность нам грозит. За прошедшие годы мы собрали множество доказательств того, что культисты Ану сотрудничают с врагом. В свое время они заплатят за свои преступления против человечества.",,
PROG_LE1_WIN_CHOICE_1_TEXT,Text,,Provide New Jericho with intelligence <i>proving</i> that Anu instigated the Pandoran attack,,Fournir à la Nouvelle-Jéricho des renseignements <i>prouvant</i> que les Disciples d’Anu ont provoqués l’attaque des Pandoriens,"Stelle Neu-Jericho Informationen zur Verfügung, die <i>beweisen</i>, dass Anu den pandoranischen Angriff angezettelt hat.",,,"Предоставить Новому Иерихону сведения, <i>доказывающие</i>, что Последователи Ану спровоцировали нападение Пандоранов",,
PROG_LE1_WIN_CHOICE_0_OUTCOME_GENERAL,Text,,"MESSAGE 
From: Colonel Jack Harlson (New Jericho) 
To: Phoenix Point 

It has been reported that your organization is in the possession of an armored vehicle stolen from a New Jericho facility that came under heavy attack by Pandorans and unknown human or pseudo-human assailants. 

I'll be looking into this matter personally. 

West is showing great leniency to your organization in the expectation of the role it will play in the delivery of our species. For my part, sometimes I'm not so sure that we need you at all.",,"MESSAGE
EXPÉDITEUR : Colonel Jack Harlson (Nouvelle-Jéricho)
DESTINATAIRE : Phoenix

Il a été rapporté que votre organisation est en possession d’un véhicule blindé volé dans une installation de la Nouvelle-Jéricho qui a été attaquée par des Pandoriens et des assaillants humains ou pseudo-humains inconnus.

Je vais me renseigner personnellement.

West fait preuve d’une grande indulgence à l’égard de votre organisation dans l’attente du rôle qu’elle jouera dans la libération de notre espèce. Pour ma part, parfois je ne suis pas sûr qu’on ait besoin de vous.","NACHRICHT
Von: Oberst Jack Harlson (Neu-Jericho)
An: Phoenix Point

Uns wurde gemeldet, dass sich Ihre Organisation im Besitz eines gepanzerten Fahrzeugs befindet, das aus einer Einrichtung von Neu-Jericho stammt, die unter schwerem Angriff durch Pandoraner sowie unbekannte menschliche oder pseudo-menschliche Angreifer geraten ist.

Ich werde diese Angelegenheit persönlich prüfen. 

West zeigt Ihrer Organisation große Nachsicht in der Erwartung, dass sie eine wichtige Rolle bei der Befreiung unserer Spezies spielen wird. Ich persönlich bin mir manchmal nicht sicher, ob wir Sie überhaupt brauchen.",,,"ВХОДЯЩЕЕ СООБЩЕНИЕ 
ОТ:  Полковник Джек Харлсон (Новый Иерихон) 
КОМУ:  Проект Феникс 

Поступило сообщение, что в распоряжении вашей организации находится броневик, угнанный с объекта на Новом Иерихоне, который подвергся мощной атаке Пандоранов и неизвестных человеческих или псевдочеловеческих нападавших. 

Я лично займусь этим вопросом. 

Уэст проявляет большую снисходительность к вашей организации, рассчитывая на то, что она сыграет свою роль в спасении нашего вида. Однако, иногда я не уверен, что вы вообще нам нужны.",,
PROG_LE1_WIN_CHOICE_0_TEXT,Text,,Keep the Armadillo,,Gardez l’Armadillo,Behalte den Armadillo,,,Оставить броневик себе,,
PROG_LE1_WIN_TEXT_GENERAL_0,Text,,We succeeded in our mission despite the unexpected appearance of Pandorans on the scene. Now we have to decide on our response to New Jericho.,,"Nous avons réussi notre mission malgré l’apparition inattendue de Pandoriens sur la zone. Maintenant, nous devons décider de notre réponse à la Nouvelle-Jéricho.","Trotz des unerwarteten Auftauchens der Pandoraner haben wir unsere Mission erfolgreich abgeschlossen. Nun müssen wir entscheiden, wie wir auf Neu-Jericho reagieren.",,,"Мы успешно справились с заданием, несмотря на неожиданное появление Пандоранов на сцене. Теперь нам предстоит решить, что делать с Новым Иерихоном.",,
PROG_LE1_WIN_TITLE,Text,,Playing the Blame Game,,Le jeu de la culpabilité,Das Schuldzuschiebespiel,,,Игра в обвинения,,
PROG_LE1_MISS_CHOICE_0_TEXT,Text,,START MISSION,,COMMENCER LA MISSION,MISSION STARTEN,,,НАЧАТЬ МИССИЮ,,
PROG_LE1_MISS_CHOICE_1_TEXT,Text,,CANCEL,,ANNULER,ABBRECHEN,,,ОТМЕНА МИССИИ,,
