"Key","Type","Desc","English","Chinese (Simplified)","French","German","Italian","Polish","Russian","Spanish","UI_Tester"
"PX_CRYSTALCROSSBOW_RESEARCHDEF_COMPLETE","Text","","At a first glance it seemed to us that Kristian Luft came up with a design for a very high air powered bow; a long shot from the marvels of the other projects of the NG+ Vanadium division. This until we realized that Prof. Luft did away with the glaring deficiency of all crossbows: that they require bolts. The Crystal Crossbow does not shoot bolts at all, but rather air particles accelerated to incredible speeds!

Requires completing Living Crystal research.","乍一看，我们以为克里斯蒂安·卢夫特设计了一种非常高效的气动弓；这与NG+钒部门其他项目的奇迹相去甚远。直到我们意识到卢夫特教授解决了所有弩的显著缺陷：它们需要箭矢。水晶弩根本不发射箭矢，而是加速空气粒子到惊人的速度！

需要完成活体水晶研究。","À première vue, il nous a semblé que Kristian Luft avait conçu un arc pneumatique à très haute puissance. Bien loin des merveilles des autres projets de la division NG+ Vanadium. Jusqu’à ce que nous nous rendions compte que le Prof. Luft avait éliminé la déficience flagrante de toutes les arbalètes : elles ont besoin de carreaux. L’arbalète de cristal ne tire pas du tout des carreaux, mais plutôt des particules d’air accélérées à des vitesses incroyables !","Auf den ersten Blick schien es sich um nichts weiter als eine pneumatische Armbrust mit außergewöhnlich hoher Luftleistung zu handeln – weit entfernt von den sonstigen Wundern der NG+-Vanadium-Abteilung.
Erst bei genauerer Betrachtung wurde klar, dass Prof. Kristian Luft einen grundlegenden Nachteil aller herkömmlichen Armbrüste überwunden hatte: Den Bedarf an Bolzen.
Die Kristallarmbrust verschießt keine Projektile, sondern Luftpartikel, die auf unglaubliche Geschwindigkeiten beschleunigt werden.

Erfordert den Abschluss der Forschung „Lebender Kristall“.","","","На первый взгляд может показаться, что Кристиан Люфт придумал дизайн очень мощного пневматического лука, далекого от чудес других проектов филиала «Оружейные Системы Нового Поколения» корпорации «Ванадий». И это до тех пор, пока мы не поняли, что профессор Люфт избавился от вопиющего недостатка всех арбалетов: они требуют болтов. Кристаллический Арбалет стреляет вовсе не болтами, а частицами воздуха, разогнанными до невероятных скоростей! 

Требуется завершить исследование «Живой Кристалл».
","",""
"PX_CRYSTALCROSSBOW_RESEARCHDEF_NAME","Text","","Crystal Crossbow","水晶弩","Arbalète de cristal","Kristallarmbrust","","","КРИСТАЛЛИЧЕСКИЙ АРБАЛЕТ
","",""
"PX_CRYSTALCROSSBOW_RESEARCHDEF_UNLOCK","Text","","A design for what appears to be a high powered pneumatic crossbow by Kristian Luft, acclaimed particle physicist and medieval history buff.","克里斯蒂安·卢夫特设计的一种高功率气动弩，卢夫特是著名的粒子物理学家和中世纪历史爱好者。","Une conception pour ce qui semble être une arbalète pneumatique de haute puissance par Kristian Luft, physicien des particules acclamé et passionné d’histoire médiévale.","Ein Entwurf für eine scheinbar leistungsstarke pneumatische Armbrust von Prof. Kristian Luft, einem gefeierten Teilchenphysiker und Mittelalterhistoriker.","","","Проект мощного пневматического арбалета, созданный Кристианом Люфтом, известным физиком элементарных частиц и любителем средневековой истории.
","",""
"PX_MATTOCKOFTHEANCIENTS_RESEARCHDEF_COMPLETE","Text","","The Reaper appears to have been designed by Valygar Prazac to address in hand to hand combat a variety of diverse hypothetical adversaries such as Golems, Gargoyles and (interestingly enough) intelligent crustaceans from outer space.

Requires completing Protean Mutane research.","死神镰似乎是由瓦利加·普拉扎克设计，用于在近战中应对各种假想敌人，如魔像、石像鬼以及（颇为有趣的）来自外太空的智能甲壳类生物。

需要完成变形变异素研究。","Le Hoyau semble avoir été conçu par Valygar Prazac pour affronter au corps à corps une variété d'adversaires hypothétiques tels que des Golems, des Gargouilles et (ce qui est intéressant) des crustacés intelligents venus de l'espace.","Der Schnitter scheint von Valygar Prazac für den Nahkampf gegen eine Vielzahl hypothetischer Gegner entwickelt worden zu sein - darunter Golems, Gargoyles und – aus bislang ungeklärten Gründen – intelligente Krustentiere aus dem Weltraum.

Erfordert den Abschluss der Forschung zum „proteischen Mutan“.","","","Судя по всему, Жнец был разработан Валигаром Празаком для рукопашного боя с самыми разными гипотетическими противниками, такими как големы, гаргульи и, что забавно, разумные ракообразные из космоса. 

Требуется завершить исследование «Белковый Мутаген».
","",""
"PX_MATTOCKOFTHEANCIENTS_RESEARCHDEF_NAME","Text","","Reaper","死神镰","Le Hoyau des anciens","Schnitter","","","ЖНЕЦ
","",""
"PX_MATTOCKOFTHEANCIENTS_RESEARCHDEF_UNLOCK","Text","","An impossible melee weapon dreamt up by Valygar Prazac of the NG+ Weapon Systems at Vanadium Co., and former professor in the experimental physics department of the Taras Shevchenko University of Kyiv.","死神镰是由NG+钒公司武器系统部门的瓦利加·普拉扎克构思的不可思议的近战武器，他曾是基辅塔拉斯·舍甫琴科大学实验物理系教授。","Une arme de mêlée improbable imaginée par Valygar Prazac des systèmes d’armes NG+ à Vanadium Co., et ancien professeur au département de physique expérimentale de l’Université Taras Shevchenko de Kiev.","Eine unmögliche Nahkampfwaffe, entworfen von Valygar Prazac (NG+-Waffensysteme), einem ehemaligen Professor für Experimentalphysik an der Taras-Schewtschenko-Universität in Kiew.","","","Невероятное оружие ближнего боя, придуманное Валигаром Празаком из филиала «Оружейные Системы Нового Поколения» корпорации «Ванадий», бывшим профессором кафедры экспериментальной физики киевского университета имени Тараса Шевченко.
","",""
"PX_REBUKE_RESEARCHDEF_COMPLETE","Text","","Mr. Stridrahen was an imminently practical man and this practicality paradoxically shows throughout the impracticable (before the Antediluvian materials) Rebuke. It is somewhat of a misnomer to describe this weapon as a grenade launcher, and what happens when it is activated as an explosion, but it will have to do until we are ready to update our physics models to account for the Antediluvian materials.

Requires completing Protean Mutane research.","斯特里德拉亨先生是个极其实用的人，这种实用性在不切实际的（在远古材料出现之前）斥责武器中表现得尤为矛盾。将这武器称为榴弹发射器有些误导，激活时的效果类似爆炸，但在我们准备更新物理模型以涵盖远古材料之前，这个称呼将不得不将就使用。

需要完成变形变异素研究。","M. Stridrahen était un homme d’une pratique imminente et cette pratique se manifeste paradoxalement tout au long de la réprimande de l'infaisabilité (avant les matériaux antédiluviens). Il est un peu erroné de décrire cette arme comme un lance-grenades, et ce qui se passe quand il est activé, comme une explosion. Mais cela devra le faire jusqu’à ce que nous sommes prêts à mettre à jour nos modèles de physique pour tenir compte des matériaux antédiluviens.","Herr Stridrahen war ein ausgesprochen pragmatischer Mann – und genau diese Pragmatik spiegelt sich paradoxerweise in der Waffe „Tadel“ wider.
Was vor der Einführung antediluvianischer Materialien als unpraktisch gegolten hätte, erweist sich nun als funktional, wenn auch schwer einzuordnen. Es ist irreführend, Tadel als Granatwerfer zu bezeichnen oder die Wirkung seiner Aktivierung als Explosion zu beschreiben, doch diese Vereinfachung muss genügen – zumindest solange unsere Physik der Realität hinterherhinkt.

Erfordert den Abschluss der Forschung zum „proteischen Mutan“.","","","Мистер Стридрахен был невероятно практичным человеком, и эта практичность парадоксальным образом проявляется в создании невозможного, до обнаружения Антедилувианских Материалов, Дезинтегратора. Описывать это оружие как гранатомет и то, что происходит при его активации, как взрыв, несколько неправильно, но это придется сделать, пока мы не будем готовы обновить наши физические модели, чтобы учесть Антедилувийские Материалы. 

Требуется завершить исследование «Белковый Мутаген».
","",""
"PX_REBUKE_RESEARCHDEF_NAME","Text","","Rebuke","斥责","Querelleur","Tadel","","","ДЕЗИНТЕГРАТОР
","",""
"PX_REBUKE_RESEARCHDEF_UNLOCK","Text","","Hristos Stridrahen, the mind behind the Rebuke, rose from Vanadium Mining and Rare Earths division to NG+ Weapon Systems through his passion for high explosives.","斥责的设计者赫里斯托斯·斯特里德拉亨，凭借对高爆炸药的热情，从钒矿和稀土部门晋升至NG+武器系统部门。","Hristos Stridrahen, l’esprit derrière le Querelleur, est passé de la division des mines et des terres rares de Vanadium à NG+ Weapons Systems grâce à sa passion pour les explosifs.","Hristos Stridrahen, der Kopf hinter Tadel, arbeitete sich durch seine Leidenschaft für Sprengstoffe von der Vanadium- und Seltene-Erden-Abteilung zu den NG+-Waffensystemen hoch.","","","Христос Стридрахен, создатель Дезинтегратора, прошел путь от рабочего в подразделении по добыче редких ископаемых до директора филиала «Оружейные Системы Нового Поколения» корпорации «Ванадий» благодаря своей страсти к взрывчатым веществам.
","",""
"TFTV_PX_SCORPION_RESEARCHDEF_COMPLETE","Text","","The ultimate purpose of the Scorpion is to make all forms of armor obsolete. Surprisingly, it seems like Mr. Antonasov’s work has provided a foundational basis for a lot of technologies with practical applications developed first by Vanadium and later New Jericho.

Frustratingly, we are missing the know-how to produce certain critical components required to build a Scorpion prototype. We speculate that New Jericho is pursuing research in that direction for the development of a new land vehicle. 

In addition, requires completing Living Crystal and Protean Mutane researches.","蝎子的终极目标是使所有形式的护甲变得过时。令人惊讶的是，安托纳索夫先生的工作为许多技术提供了基础，这些技术最初由钒公司开发，后来被新耶利哥实际应用。

令人沮丧的是，我们缺乏制造蝎子原型所需某些关键组件的技术。我们推测新耶利哥正在朝这个方向进行研究，以开发新型陆地载具。

此外，需要完成活体水晶和变形变异素研究。","L’objectif ultime du Scorpion est de rendre toutes les formes de blindage obsolètes. Étonnamment, il semble que les travaux de M. Antonasov aient fourni une base fondamentale à de nombreuses technologies aux applications pratiques, développées d’abord par Vanadium, puis plus tard par la Nouvelle-Jéricho.

Malheureusement, il nous manque encore le savoir‑faire nécessaire pour produire certains composants critiques indispensables à la construction d’un prototype du Scorpion. Nous supposons que la Nouvelle-Jéricho mène actuellement des recherches dans cette direction, dans le cadre du développement d’un nouveau véhicule terrestre.

De plus, nécessite l’achèvement des recherches Cristal Vivant et Mutane Protéen.","Das ultimative Ziel des Skorpions ist es, jede Form von Rüstung überflüssig zu machen. Erstaunlicherweise bildet die Arbeit von Herrn Antonasov die Grundlage für zahlreiche Technologien mit praktischen Anwendungen, die zunächst von Vanadium und später von Neu-Jericho weiterentwickelt wurden.

Ärgerlicherweise fehlt uns derzeit das technische Know-how zur Produktion einiger kritischer Komponenten für einen Skorpion-Prototyp. Unsere Einschätzung ist, dass Neu-Jericho in diese Richtung forscht, vermutlich mit dem Ziel, ein neues Landfahrzeug zu entwickeln.

Zusätzlich erfordert dieses Projekt den Abschluss der Forschungen „Lebender Kristall“ und „proteisches Mutan“.","","","Конечная цель Скорпиона - сделать все виды брони устаревшими. Удивительно, но похоже, что работа мистера Антонасова послужила основой для множества технологий, имеющих практическое применение, разрабатываемых сначала корпорацией «Ванадий», а затем Новым Иерихоном. 

К сожалению, нам не хватает ноу-хау для производства некоторых критически важных компонентов, необходимых для создания прототипа Скорпиона. Возможно, Новый Иерихон проводит исследования в этом направлении для разработки новой машины.

В дополнение, требуется завершить исследования «Живой Кристалл» и «Белковый Мутаген».
","",""
